dno	name	title	day	hno	cno
97	차민우	척추와 관절 질환에 대한 전문적인 진단과 치료를 제공합니다.	월,금 오후	17	47
98	김지수	만성 질환 관리 및 예방을 위한 전문적인 진료를 제공합니다.	화,수 오전	33	48
99	윤가은	각종 폐 질환 예방과 치료를 위한 맞춤형 치료를 제공합니다.	수,금 오후	30	49
100	성진주	응급 상황에서 빠른 진단과 치료를 제공하는 의료 서비스를 제공합니다.	월,화,수 오전	10	50
101	김민준	체계적인 관리로 심장 질환 예방과 치료를 돕습니다.	화,목,금 오전	42	1
102	이서연	정확한 심장 진단과 예방적 치료로 건강한 심장을 유지합니다.	월,수 오후	49	2
103	박도현	전문적인 근골격계 질환 치료로 운동 능력을 회복시켜 드립니다.	화,금 오후	46	3
104	최하은	정확한 진단을 통해 최상의 치료 계획을 세워 환자에게 최적의 치료를 제공합니다.	월,목,금 오후	50	4
105	정우진	정확한 진단과 치료 후 지속적인 관리로 재발을 방지하는 치료 프로그램을 제공합니다.	화,수,목 오전	34	5
106	강지유	각종 감염질환 예방과 치료를 위해 최신 기술을 활용한 진료를 제공합니다.	월,금 오전	46	6
107	조성민	각종 피부 질환의 진단과 치료를 위해 전문적인 진료를 제공합니다.	화,목 오후	47	7
108	윤서준	만성 통증 치료와 생활의 질 향상을 위한 전문적인 진료를 제공합니다.	월,수,금 오전	44	8
109	장예은	심장 질환 예방을 위한 철저한 검사와 치료로 건강한 심장을 유지합니다.	화,목,금 오후	37	9
110	임시우	정확한 혈액 검사로 질병을 예방하고 빠르게 치료를 시작합니다.	화,수 오후	48	10
111	오아린	정신적 스트레스를 관리하고, 정신 건강을 개선하는 상담을 제공합니다.	월,수 오전	48	11
112	김태영	체중 조절 및 운동 요법을 통해 건강한 체형을 유지하도록 돕습니다.	수,금 오후	35	12
113	이수민	부인과 질환에 대해 정밀한 진단과 전문 치료를 제공합니다.	화,금 오전	44	13
114	박준서	전문적인 예방접종 및 질병 예방 프로그램으로 건강을 지켜드립니다.	월,화,목 오후	36	14
115	최지우	심리 치료와 상담을 통해 정신적 스트레스를 완화하고 건강한 정신을 유지합니다.	화,목 오전	34	15
116	정현우	정확한 뇌 신경 질환 진단을 통해 최적의 치료 방법을 제시합니다.	월,수,목 오전	35	16
117	강채원	환자 맞춤형 건강 상담 및 치료로 최상의 치료 결과를 제공합니다.	화,수,금 오후	38	17
118	조윤서	정신적 건강 회복을 위한 맞춤형 상담과 치료를 지원합니다.	월,목 오후	43	18
119	윤지훈	만성질환 관리를 위한 종합적인 치료와 예방 프로그램을 제공합니다.	화,수 오전	43	19
120	장서현	재활 치료와 물리 치료로 운동 능력을 향상시키고 빠른 회복을 돕습니다.	월,금 오후	36	20
121	임우진	비만 및 체중 조절을 위한 체계적인 프로그램을 지원합니다.	화,목 오전	46	21
122	오유진	아이들의 발달과 성장에 맞춘 맞춤형 진료를 제공합니다.	월,수 오후	39	22
123	김건우	최신 기술을 이용한 정확한 진단과 최적의 치료를 제공합니다.	월,화,금 오전	43	23
124	이시윤	복잡한 수술 후 빠른 회복을 위해 적극적인 재활 치료를 제공합니다.	화,목 오후	40	24
125	박민서	환자 개개인의 건강 상태에 맞춘 맞춤형 건강 관리와 치료를 제공합니다.	월,수,금 오전	35	25
126	최유준	종합 검진을 통해 질병을 조기에 발견하고 예방적 치료를 제공합니다.	화,금 오후	50	26
127	정수현	소화기 계통 질환 예방과 치료에 대한 전문적인 접근을 합니다.	월,화,수 오후	40	27
128	강민지	정신적, 신체적 회복을 위한 종합적인 치료 및 관리 프로그램을 운영합니다.	수,목 오전	38	28
129	조예원	호흡기 및 폐 질환에 대한 전문적인 치료를 제공합니다.	화,목,금 오전	45	29
130	윤건희	다양한 뇌 및 신경계 질환에 대해 전문적인 치료를 진행합니다.	월,수,목 오후	41	30
131	장우성	모든 연령대에 맞춘 건강 관리 및 예방적 치료를 제공합니다.	화,금 오전	39	31
132	임서영	정확한 진단을 바탕으로 신속한 치료를 통해 빠른 회복을 돕습니다.	월,수 오전	41	32
133	오지훈	환자의 건강을 위한 예방적 건강 검진 및 맞춤형 상담을 제공합니다.	화,수,목 오후	42	33
134	김주원	심혈관 건강을 유지하고 질병 예방을 위한 맞춤형 진료를 제공합니다.	월,금 오후	38	34
135	이하윤	재활 및 물리 치료를 통해 운동 기능 회복을 돕습니다.	화,목 오전	47	35
136	박시현	소화기 및 대장 질환에 대한 맞춤형 치료와 예방을 제공합니다.	수,금 오후	49	36
137	최민재	수술 전후로 환자에게 최상의 진료와 관리 프로그램을 제공합니다.	화,금 오전	36	37
138	정서윤	종양과 혈액 질환에 대한 전문적인 진단 및 치료를 제공합니다.	월,화 오전	48	38
139	강유진	다양한 종류의 알레르기 질환에 대한 진단과 치료를 제공합니다.	화,수 오후	45	39
140	조하준	불편한 관절과 척추 질환을 전문적으로 치료하여 빠른 회복을 돕습니다.	월,목 오전	39	40
141	윤서영	심리적 스트레스와 우울증 치료를 통해 정신적 건강을 회복합니다.	화,금 오후	40	41
142	장민혁	고혈압 및 당뇨병 치료를 위한 전문적인 관리 프로그램을 제공합니다.	월,수,금 오후	49	42
143	임지우	정신적 건강을 회복하고 스트레스 관리를 위한 맞춤형 치료를 제공합니다.	화,목 오후	50	43
144	오준서	각종 신경계 질환에 대한 예방 및 치료 방법을 제시합니다.	수,금 오전	37	44
145	김지후	전문적인 재활 치료와 운동 프로그램으로 통증을 완화합니다.	화,수 오전	42	45
146	이도윤	체중 관리 및 비만 치료를 위한 전문적인 접근을 제공합니다.	월,화,목 오전	45	46
147	박서준	최첨단 기술을 사용하여 정확한 진단과 치료로 빠른 회복을 돕습니다.	화,금 오전	37	47
148	최예준	정확한 진단을 통해 신속한 치료와 효과적인 치료 방법을 제시합니다.	월,목 오후	50	48
149	정지아	환자 맞춤형 건강 관리 프로그램을 통해 전반적인 건강을 지원합니다.	화,수,금 오전	47	49
150	강현우	여성의 건강을 위한 유방암 검진 및 예방적 치료를 제공합니다.	월,수 오전	44	50
