uno	uname	uid	upw	unick	ugender	ubirth	ugrade	udetail
45	조민서  	tjdtlf45	wjdwlr45!	민서는퇴근중  	1	2000-02-14	서림상업대학교  	업무에 대해 긍정적인 태도로 임하며, 동료들과 협력하여 빠르게 성장하겠습니다.  
46	도하진  	tjdtlf46	wjdwlr46!	하진이텀블러  	1	1999-05-08	한산문화대학교  	최선을 다해 성실하게 일하고, 빠르게 배우며 항상 긍정적인 마인드로 업무에 임하겠습니다.  
47	장예준  	tjdtlf47	wjdwlr47!	예준타임  	1	2006-05-31	푸른빛대학  	어려운 일이 생겨도 긍정적인 마인드로 해결하고, 맡은 일을 성실히 해내겠습니다.  
48	김하린  	tjdtlf48	wjdwlr48!	하린이도전  	2	1992-06-23	이음미디어대학교  	업무에 대한 책임감을 가지고 최선을 다하며, 빠르게 배우고 성장하는 자세로 일하겠습니다.  
49	이준혁  	tjdtlf49	wjdwlr49!	준혁ON  	1	1985-02-10	청화상업대학교  	꼼꼼하고 성실한 성격으로 맡은 일을 책임감 있게 수행하겠습니다. 빠르게 배우고 적응하겠습니다.  
50	권채원  	tjdtlf50	wjdwlr50!	채원무한출근  	2	1994-09-02	가온정보대학교  	언제나 긍정적인 태도로 일하며, 동료들과 협력하여 맡은 일을 책임감 있게 처리하겠습니다.  
51	민태현  	tjdtlf51	wjdwlr51!	태현_눈떠  	1	2009-10-06	동영중학교  	빠르게 배우고 성실하게 일하며, 맡은 업무에 책임감 있게 최선을 다하겠습니다.  
52	윤지민  	tjdtlf52	wjdwlr52!	지민이의기적  	1	2008-01-19	서연대학교  	일에 대한 책임감을 가지고 성실히 업무를 처리하겠습니다. 항상 긍정적으로 일하겠습니다.  
53	임예린  	tjdtlf53	wjdwlr53!	예린이라구요  	2	1996-03-22	정우조형대학교  	긍정적인 태도로 일하며, 맡은 일을 빠르게 배우고, 책임감 있게 처리하겠습니다.  
54	정수아  	tjdtlf54	wjdwlr54!	수아는평온  	2	2004-10-30	예솔디지털대학교  	최선을 다해 업무에 임하며, 배우는 것을 즐기고 빠르게 적응하겠습니다.  
55	홍채린  	tjdtlf55	wjdwlr55!	채린둥절  	2	1995-11-18	상암대학교  	어떤 업무든 성실히 처리하며, 긍정적인 태도로 배우고 성장하겠습니다.  
56	백민규  	tjdtlf56	wjdwlr56!	민규초조  	1	1987-06-05	다하윤대학교  	빠르게 배우고 책임감 있게 일하며, 동료들과 협력하여 최선의 결과를 만들겠습니다.  
57	신다은  	tjdtlf57	wjdwlr57!	다은이치얼스  	2	1991-03-09	하운대학교  	업무에 성실히 임하며, 동료들과 좋은 분위기 속에서 일하겠습니다.  
58	강지후  	tjdtlf58	wjdwlr58!	지후유유  	1	1989-06-12	시청기술대학교  	성실하고 책임감 있는 자세로 맡은 일에 최선을 다하며, 빠르게 배우고 성장하겠습니다.  
59	우예원  	tjdtlf59	wjdwlr59!	예원이눈치  	2	1997-09-14	청강정보대학교  	빠르게 배우고 동료들과 협력하여, 맡은 일에 최선을 다하겠습니다.  
60	조다현  	tjdtlf60	wjdwlr60!	다현무념무상  	2	2005-01-03	청명중학교  	적극적으로 일을 배우며 성실하게 일하겠습니다. 항상 긍정적인 태도로 일하겠습니다.  
61	김시우  	tjdtlf61	wjdwlr61!	시우야놀자  	1	1990-12-01	백우대학교  	성실하고 책임감 있는 자세로 맡은 일을 열심히 처리하겠습니다. 항상 긍정적인 마인드로 일하겠습니다.  
62	박하윤  	tjdtlf62	wjdwlr62!	하윤이푸념  	2	1998-06-19	우림대학교  	언제나 빠르게 배우며, 맡은 일에 책임감을 가지고 성실하게 일을 해내겠습니다.  
63	이하준  	tjdtlf63	wjdwlr63!	하준ON  	1	1985-09-27	소명문화대학교  	적극적이고 빠르게 배우는 성격으로 맡은 일에 최선을 다하겠습니다. 항상 웃는 얼굴로 일하겠습니다.  
64	차지안  	tjdtlf64	wjdwlr64!	지안무표정  	2	2002-12-06	정림기계대학교  	언제나 성실하게 업무에 임하며, 동료들과 협력하여 좋은 결과를 만들겠습니다.  
65	하승우  	tjdtlf65	wjdwlr65!	승우집가고싶다  	1	2007-07-12	한솔중학교  	빠르게 적응하고, 맡은 일을 책임감 있게 처리하겠습니다. 항상 긍정적인 마인드로 일하겠습니다.  
66	노지우  	tjdtlf66	wjdwlr66!	지우의하루  	2	2000-05-20	여백과학대학교  	항상 성실히 일하며, 맡은 업무에 최선을 다하고 빠르게 배우겠습니다.  
67	전하은  	tjdtlf67	wjdwlr67!	하은잠시후퇴  	2	1993-05-30	하이디지털대학교  	책임감을 가지고 맡은 일을 철저히 처리하며, 빠르게 적응하겠습니다.  
68	송지훈  	tjdtlf68	wjdwlr68!	지훈은나야나  	1	1999-02-04	영명대학교  	성실하고 꼼꼼한 성격으로 업무에 임하며, 언제나 최선을 다하겠습니다.  
69	양서윤  	tjdtlf69	wjdwlr69!	서윤러버  	2	2001-11-25	미래문화대학교  	긍정적인 마인드로 항상 일하며, 맡은 업무에 책임감을 가지고 처리하겠습니다.  
70	문하진  	tjdtlf70	wjdwlr70!	하진무빙  	1	1992-04-02	정림과학대학교  	어떤 일이든 성실하게 배우고, 맡은 일에 책임감을 가지고 최선을 다하겠습니다.  
71	윤하율  	tjdtlf71	wjdwlr71!	하율은배달중  	2	1986-12-11	푸른솔산업대학교  	책임감 있고 빠르게 배우는 성격으로, 맡은 일에 최선을 다하겠습니다.  
72	오예빈  	tjdtlf72	wjdwlr72!	예빈이꿈나라  	2	1995-05-06	정현기술대학교  	일에 대한 책임감을 가지고, 빠르게 배우며 일을 처리하겠습니다.  
73	유지훈  	tjdtlf73	wjdwlr73!	지훈2교대  	1	1990-07-21	가람문화대학교  	긍정적인 마인드로 일을 배우고 성실히 맡은 업무를 처리하겠습니다.  
74	정예진  	tjdtlf74	wjdwlr74!	예진의기운  	2	1988-01-26	별빛대학교  	빠르게 배우고 성장하는 타입입니다. 성실하게 일하며 맡은 업무에 최선을 다하겠습니다.  
75	한도윤  	tjdtlf75	wjdwlr75!	도윤ON_AIR  	1	2006-11-16	하늘문화대학교  	어려운 일도 긍정적인 마인드로 해결하며, 빠르게 적응하고 일하겠습니다.  
76	이하은  	tjdtlf76	wjdwlr76!	하은이가을  	2	2003-06-23	정서대학교  	일을 맡기시면 항상 성실히 처리하며, 책임감 있게 일하겠습니다.  
77	김도현  	tjdtlf77	wjdwlr77!	도현은요리중  	1	1996-10-04	시대기술대학교  	빠르게 배우고, 맡은 일을 철저히 해내며, 항상 긍정적인 태도로 일하겠습니다.  
78	강다은  	tjdtlf78	wjdwlr78!	다은이여기요  	2	2009-01-11	화평디지털대학교  	책임감 있고 성실한 자세로 일을 배워가며, 팀워크를 중요하게 생각합니다.  
79	임재민  	tjdtlf79	wjdwlr79!	재민이기달  	1	1987-09-28	서울조형대학교  	성실하고 적극적인 자세로 항상 일을 배우고, 맡은 바 책임을 다하겠습니다.  
80	장유진  	tjdtlf80	wjdwlr80!	유진이GO  	2	1994-05-17	다은대학교  	어떤 일이든 성실하고 책임감 있게 처리하며, 팀워크를 중요시합니다.  
81	조예담  	tjdtlf81	wjdwlr81!	예담은꾸준  	1	1991-10-13	정림디지털대학교  	빠르게 배우고, 동료들과 협력하며 책임감을 가지고 일하겠습니다.  
82	남하진  	tjdtlf82	wjdwlr82!	하진이알람  	1	2005-03-08	예성대학  	업무에 대한 책임감을 가지고, 성실하고 빠르게 일을 배우겠습니다.  
83	배정우  	tjdtlf83	wjdwlr83!	정우_스탠바이  	1	1998-10-01	서하디지털대학교  	빠르게 배우고 적응하는 타입입니다. 성실히 맡은 일을 책임감 있게 처리하겠습니다.  
84	탁지윤  	tjdtlf84	wjdwlr84!	지윤은가능  	2	1989-12-22	동림정보대학교  	동료들과 협력하여 좋은 결과를 만들어가며, 빠르게 배워 나가겠습니다.  
85	금예린  	tjdtlf85	wjdwlr85!	예린찡  	2	2004-02-09	솔빛디지털대학교  	어떤 일이든 맡은 바를 책임감 있게 처리하며, 빠르게 적응하겠습니다.  
86	고지후  	tjdtlf86	wjdwlr86!	지후또만나요  	1	1997-06-26	푸름상업대학교  	일에 대한 열정을 가지고, 항상 성실하고 책임감 있게 업무를 수행하겠습니다.  
87	류하영  	tjdtlf87	wjdwlr87!	하영이살짝  	2	2008-09-30	새별고등학교	동료들과 협력하여 빠르게 배우고, 맡은 일에 최선을 다하겠습니다.  
88	홍채우  	tjdtlf88	wjdwlr88!	채우조용  	2	1993-07-22	가람기술대학교  	적극적이고 성실한 자세로 일에 임하며, 맡은 일을 빠르게 처리하겠습니다.  
89	심하은  	tjdtlf89	wjdwlr89!	하은이또또  	2	1985-04-03	푸르미디지털대학교  	성실하게 업무를 처리하며, 항상 긍정적인 마인드로 일하겠습니다.  
90	윤가온  	tjdtlf90	wjdwlr90!	가온이반짝  	1	2007-12-15	서연고등학교	책임감을 가지고 맡은 일을 처리하며, 빠르게 적응하고 성장하겠습니다.  
91	백지우  	tjdtlf91	wjdwlr91!	지우로그인  	2	2009-08-17	송림중학교	빠르게 배우며 성실하게 일하며, 맡은 일을 책임감 있게 처리하겠습니다.  
92	표하린  	tjdtlf92	wjdwlr92!	하린잊지마  	2	2005-03-08	청강기술대학교  	업무를 맡기시면 항상 성실하게 일하겠습니다. 책임감을 가지고 최선을 다하겠습니다.  
93	도하늘  	tjdtlf93	wjdwlr93!	하늘그잡채  	1	1998-10-01	푸른소리대학교  	책임감 있는 자세로 성실히 일하며, 빠르게 배우고 성장하는 모습 보여드리겠습니다.  
94	권지현  	tjdtlf94	wjdwlr94!	지현이눈빛  	2	1989-12-22	누리기술대학교	항상 성실하게 일하고, 동료들과 협력하여 좋은 분위기를 만들어가겠습니다.  
95	박지훈  	tjdtlf95	wjdwlr95!	지훈한숨  	1	2004-02-09	한울상업대학교	책임감 있게 맡은 일에 최선을 다하며, 빠르게 배우고 적응하겠습니다.  
96	최하린  	tjdtlf96	wjdwlr96!	하린의하루  	2	1997-06-26	광덕대학교	성실한 자세로 맡은 일을 빠르게 배우며 책임감을 가지고 일하겠습니다.  
97	강수진  	tjdtlf97	wjdwlr97!	수진이또각  	2	2008-09-30	정도고등학교  	빠르게 배우고 맡은 일을 성실하게 처리하며, 긍정적인 태도로 항상 노력하겠습니다.  
98	임지호  	tjdtlf98	wjdwlr98!	지호야너무해  	1	1993-07-22	서림고등학교  	책임감 있고 꼼꼼한 성격으로 맡은 일에 최선을 다하며, 빠르게 적응하겠습니다.  
99	신하은  	tjdtlf99	wjdwlr99!	하은묵묵부답  	2	1985-04-03	하늘고등학교  	어떤 일이든 최선을 다해 성실히 처리하며, 동료들과 협력하여 좋은 결과를 만들어가겠습니다.  
100	윤가민	tjdtlf100	wjdwlr100!	가민이진심  	1	2007-12-15	한조고등학교	성실하게 배우고 맡은 일을 책임감 있게 처리하며, 긍정적인 마인드로 일하겠습니다.  
