uno	name	gender	date	job	id	pw	place	x	y	personal	hobby	style
35	남하윤	2	2001-02-22	호텔리어	user35	user35!	공덕동  	335	147	5	5	5
36	이성민	1	1995-03-09	영업 사원	user36	user36!	아현동  	353	414	6	6	6
37	박지훈	1	1997-03-25	약사	user37	user37!	청파동  	607	379	7	7	7
38	황채아	2	1996-10-21	웹툰 작가	user38	user38!	신수동  	635	274	8	8	8
39	조은찬	1	1990-07-31	미용사	user39	user39!	공덕동  	612	402	9	9	9
40	김예나	2	1999-08-14	성우	user40	user40!	후암동  	395	375	10	10	10
41	윤현준	1	1993-07-10	데이터 분석가	user41	user41!	청파동  	392	227	1	1	1
42	고다연	2	2000-01-08	컨텐츠 에디터	user42	user42!	신수동  	311	694	2	2	2
43	백지후	1	1995-11-20	패션 스타일리스트	user43	user43!	아현동  	608	270	3	3	3
44	임수빈	2	1992-11-25	리포터	user44	user44!	공덕동  	286	655	4	4	4
45	최준영	1	2001-02-02	자동차 정비사	user45	user45!	후암동  	196	59	5	5	5
46	문혜린	2	1998-05-08	컨설턴트	user46	user46!	청파동  	375	687	6	6	6
47	홍태현	1	1996-07-01	음악 프로듀서	user47	user47!	신수동  	200	200	7	7	7
48	전지유	2	1991-03-16	제과제빵사	user48	user48!	아현동  	192	648	8	8	8
49	김민석	1	1994-12-03	심리상담사	user49	user49!	청파동  	497	452	9	9	9
50	박예진	2	2002-03-29	디지털 마케터	user50	user50!	공덕동  	412	365	10	10	10
51	노형우	1	1997-11-17	공연 기획자	user51	user51!	신수동  	404	512	1	1	1
52	송서아	2	1999-12-12	수학 강사	user52	user52!	후암동  	557	174	2	2	2
53	이도현	1	1993-09-16	라디오 PD	user53	user53!	아현동  	295	422	3	3	3
54	정지아	2	1995-12-12	법률 사무원	user54	user54!	공덕동  	590	120	4	4	4
55	차윤호	1	1996-10-25	기업 인사 담당자	user55	user55!	청파동  	161	247	5	5	5
56	강세린	2	2000-07-09	치과위생사	user56	user56!	신수동  	590	601	6	6	6
57	오승우	1	1990-01-05	경영 컨설턴트	user57	user57!	후암동  	48	378	7	7	7
58	신시아	2	1998-09-10	한의사	user58	user58!	아현동  	499	361	8	8	8
59	배주원	1	1994-09-27	헬스 트레이너	user59	user59!	공덕동  	198	388	9	9	9
60	유아린	2	1992-08-20	HR 매니저	user60	user60!	신수동  	332	204	10	10	10
61	장민수	1	2001-09-24	운동선수	user61	user61!	청파동  	343	470	1	1	1
62	남유림	2	1995-12-25	게임 디자이너	user62	user62!	후암동  	410	548	2	2	2
63	이성현	1	1997-03-13	사회복지사	user63	user63!	아현동  	218	315	3	3	3
64	조예빈	2	1993-01-02	화장품 MD	user64	user64!	공덕동  	340	470	4	4	4
65	김지환	1	1999-02-05	광고 AE	user65	user65!	신수동  	415	696	5	5	5
66	문나윤	2	2000-04-13	의상 디자이너	user66	user66!	청파동  	414	559	6	6	6
67	박진우	1	1991-08-12	해외 영업사원	user67	user67!	후암동  	244	612	7	7	7
68	최하경	2	1996-11-08	제품 MD	user68	user68!	아현동  	284	612	8	8	8
69	윤승아	2	2002-11-13	유튜버	user69	user69!	신수동  	683	351	9	9	9
70	이준혁	1	1990-07-26	무용가	user70	user70!	공덕동  	610	255	10	10	10
71	백연우	1	1998-12-24	영상 감독	user71	user71!	청파동  	648	259	1	1	1
72	장윤서	1	1994-06-21	게임 스트리머	user72	user72!	후암동  	338	512	2	2	2
73	홍현민	1	2001-03-23	라디오 DJ	user73	user73!	아현동  	534	676	3	3	3
74	노소은	2	1992-07-29	의사	user74	user74!	신수동  	143	133	4	4	4
75	조민호	1	1995-06-25	항공 정비사	user75	user75!	공덕동  	493	631	5	5	5
76	정서연	2	1999-09-12	웨딩 플래너	user76	user76!	청파동  	221	646	6	6	6
77	한동윤	1	1997-02-14	호텔 지배인	user77	user77!	후암동  	516	418	7	7	7
78	김다율	2	1996-10-14	소설가	user78	user78!	아현동  	391	309	8	8	8
79	이재민	1	1993-07-12	번역가	user79	user79!	신수동  	299	689	9	9	9
80	박하율	1	1991-12-07	테니스 코치	user80	user80!	공덕동  	144	205	10	10	10
81	장시연	2	1998-07-26	건축가	user81	user81!	청파동  	624	488	1	1	1
82	송기현	1	1994-04-15	주얼리 디자이너	user82	user82!	후암동  	530	594	2	2	2
83	문설아	2	2000-02-09	스튜어디스	user83	user83!	신수동  	615	494	3	3	3
84	김재훈	1	1995-09-09	오페라 가수	user84	user84!	공덕동  	525	699	4	4	4
85	유예율	1	1992-01-25	컴퓨터 엔지니어	user85	user85!	아현동  	645	175	5	5	5
86	황태양	1	1999-11-28	스포츠 기자	user86	user86!	청파동  	350	567	6	6	6
87	최채린	2	1996-11-26	치과의사	user87	user87!	후암동  	648	362	7	7	7
88	조민규	1	2001-11-25	해양경찰	user88	user88!	신수동  	184	407	8	8	8
89	윤하엘	2	1990-05-31	미술학원 강사	user89	user89!	공덕동  	332	585	9	9	9
90	강도영	1	1993-07-02	금융 컨설턴트	user90	user90!	아현동  	381	589	10	10	10
91	이지율	2	1997-06-18	사회학자	user91	user91!	청파동  	294	271	1	1	1
92	오형준	1	2002-10-24	서버 엔지니어	user92	user92!	후암동  	635	588	2	2	2
93	남시아	2	1998-10-30	생명과학 연구원	user93	user93!	신수동  	642	242	3	3	3
94	장시원	1	1994-12-24	도예가	user94	user94!	공덕동  	273	312	4	4	4
95	한지운	1	1995-04-11	무대 감독	user95	user95!	청파동  	173	551	5	5	5
96	김세린	2	1996-09-23	초콜릿 소믈리에	user96	user96!	아현동  	177	692	6	6	6
97	정진혁	1	1999-03-01	항공기 조종사	user97	user97!	후암동  	580	358	7	7	7
98	홍가윤	2	1991-12-10	방송 작가	user98	user98!	신수동  	273	557	8	8	8
99	노수현	1	2000-12-27	치과의사	user99	user99!	공덕동  	421	608	9	9	9
100	김도혁	1	1992-12-09	운동선수	user100	user100!	아현동  	270	335	10	10	10
